,Desease,Symptoms,desease_id,symptoms_id
0,Fungal infection,"dischromic _patches, itching, nodal_skin_eruptions, skin_rash",0,"[102, 0, 2, 1]"
1,Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes",1,"[5, 3, 4, 103]"
2,GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting",2,"[8, 56, 24, 7, 9, 11]"
3,Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin",3,"[39, 0, 35, 34, 11, 43, 32]"
4,Drug Reaction,"burning_micturition, itching, skin_rash, spotting_ urination, stomach_pain",4,"[12, 0, 1, 13, 7]"
5,Peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting",5,"[39, 30, 93, 35, 92, 11]"
6,AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat",6,"[75, 25, 10, 22]"
7,Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss",7,"[49, 74, 14, 104, 23, 21, 67, 105, 20, 19]"
8,Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting",8,"[29, 40, 26, 11]"
9,Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum",9,"[27, 24, 106, 14, 25, 107]"
10,Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance",10,"[56, 64, 31, 109, 85]"
11,Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances",11,"[8, 49, 95, 74, 31, 30, 96, 81, 110]"
12,Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs",12,"[37, 64, 85, 63, 57]"
13,Paralysis (brain hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side",13,"[98, 31, 11, 87]"
14,Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin",14,"[39, 33, 14, 25, 0, 11, 19, 32]"
15,Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting",15,"[5, 40, 31, 25, 97, 34, 28, 11]"
16,Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes",16,"[14, 31, 25, 0, 21, 35, 48, 41, 99, 1, 47]"
17,Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting",17,"[37, 5, 14, 31, 25, 6, 35, 48, 97, 34, 36, 99, 1, 11]"
18,Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting",18,"[39, 100, 5, 38, 40, 14, 31, 25, 34, 94, 11]"
19,hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin",19,"[39, 33, 40, 6, 35, 41, 97, 34, 11, 43, 32]"
20,Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin",20,"[39, 33, 14, 0, 21, 35, 48, 111, 112, 42, 43, 32]"
21,Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin",21,"[106, 14, 35, 34, 43, 32]"
22,Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin",22,"[39, 33, 14, 6, 35, 34, 11, 43, 32]"
23,Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin",23,"[39, 44, 113, 33, 14, 25, 6, 35, 34, 114, 11, 43, 32]"
24,Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin",24,"[39, 115, 117, 116, 46, 11, 32]"
25,Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes",25,"[118, 27, 56, 5, 24, 14, 25, 35, 48, 41, 50, 28, 47, 11, 19, 43]"
26,Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation",26,"[56, 5, 55, 3, 24, 14, 31, 25, 88, 48, 97, 50, 52, 54, 53, 47, 51]"
27,Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating",27,"[27, 56, 5, 24, 58, 14, 25, 48, 50, 108, 28]"
28,Dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region",28,"[61, 38, 62, 59, 60]"
29,Heart attack,"breathlessness, chest_pain, sweating, vomiting",29,"[27, 56, 28, 11]"
30,Varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs",30,"[66, 65, 14, 67, 119, 69, 68]"
31,Hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain",31,"[101, 72, 17, 95, 64, 71, 14, 96, 21, 18, 70, 73, 15]"
32,Hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss",32,"[101, 40, 74, 58, 14, 96, 18, 80, 20, 28, 19]"
33,Hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting",33,"[16, 49, 76, 74, 14, 31, 96, 34, 120, 77, 28, 11]"
34,Osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints",34,"[79, 6, 78, 63, 121, 82]"
35,Arthritis,"movement_stiffness, muscle_weakness, painful_walking, stiff_neck, swelling_joints",35,"[83, 80, 121, 81, 82]"
36,(vertigo) Paroymsal  Positional Vertigo,"headache, loss_of_balance, nausea, spinning_movements, unsteadiness, vomiting",36,"[31, 85, 34, 84, 86, 11]"
37,Acne,"blackheads, pus_filled_pimples, scurring, skin_rash",37,"[123, 122, 124, 1]"
38,Urinary tract infection,"bladder_discomfort, burning_micturition, continuous_feel_of_urine, foul_smell_of urine",38,"[89, 12, 91, 90]"
39,Psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails",39,"[128, 6, 126, 125, 1, 127]"
40,Impetigo,"blister, high_fever, red_sore_around_nose, skin_rash, yellow_crust_ooze",40,"[129, 25, 130, 1, 131]"
