,Symptoms,Desease,symptoms_id,desease_id
0,itching,"Fungal infection, Chronic cholestasis, Drug Reaction, Jaundice, Chicken pox, Hepatitis B",0,"[0, 3, 4, 14, 16, 20]"
1,skin_rash,"Fungal infection, Drug Reaction, Chicken pox, Dengue, Acne, Psoriasis, Impetigo",1,"[0, 4, 16, 17, 37, 39, 40]"
2,nodal_skin_eruptions,Fungal infection,2,[0]
3,continuous_sneezing,"Allergy, Common Cold",3,"[1, 26]"
4,shivering,Allergy,4,[1]
5,chills,"Allergy, Malaria, Dengue, Typhoid, Tuberculosis, Common Cold, Pneumonia",5,"[1, 15, 17, 18, 25, 26, 27]"
6,joint_pain,"Dengue, hepatitis A, Hepatitis D, Hepatitis E, Osteoarthristis, Psoriasis",6,"[17, 19, 22, 23, 34, 39]"
7,stomach_pain,"GERD, Drug Reaction",7,"[2, 4]"
8,acidity,"GERD, Migraine",8,"[2, 11]"
9,ulcers_on_tongue,GERD,9,[2]
10,muscle_wasting,AIDS,10,[6]
11,vomiting,"GERD, Chronic cholestasis, Peptic ulcer diseae, Gastroenteritis, Paralysis (brain hemorrhage), Jaundice, Malaria, Dengue, Typhoid, hepatitis A, Hepatitis D, Hepatitis E, Alcoholic hepatitis, Tuberculosis, Heart attack, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo",11,"[2, 3, 5, 8, 13, 14, 15, 17, 18, 19, 22, 23, 24, 25, 29, 33, 36]"
12,burning_micturition,"Drug Reaction, Urinary tract infection",12,"[4, 38]"
13,spotting_ urination,Drug Reaction,13,[4]
14,fatigue,"Diabetes , Bronchial Asthma, Jaundice, Chicken pox, Dengue, Typhoid, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Varicose veins, Hypothyroidism, Hyperthyroidism, Hypoglycemia",14,"[7, 9, 14, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 31, 32, 33]"
15,weight_gain,Hypothyroidism,15,[31]
16,anxiety,Hypoglycemia,16,[33]
17,cold_hands_and_feets,Hypothyroidism,17,[31]
18,mood_swings,"Hypothyroidism, Hyperthyroidism",18,"[31, 32]"
19,weight_loss,"Diabetes , Jaundice, Tuberculosis, Hyperthyroidism",19,"[7, 14, 25, 32]"
20,restlessness,"Diabetes , Hyperthyroidism",20,"[7, 32]"
21,lethargy,"Diabetes , Chicken pox, Hepatitis B, Hypothyroidism",21,"[7, 16, 20, 31]"
22,patches_in_throat,AIDS,22,[6]
23,irregular_sugar_level,Diabetes ,23,[7]
24,cough,"GERD, Bronchial Asthma, Tuberculosis, Common Cold, Pneumonia",24,"[2, 9, 25, 26, 27]"
25,high_fever,"AIDS, Bronchial Asthma, Jaundice, Malaria, Chicken pox, Dengue, Typhoid, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Impetigo",25,"[6, 9, 14, 15, 16, 17, 18, 23, 25, 26, 27, 40]"
26,sunken_eyes,Gastroenteritis,26,[8]
27,breathlessness,"Bronchial Asthma, Tuberculosis, Pneumonia, Heart attack",27,"[9, 25, 27, 29]"
28,sweating,"Malaria, Tuberculosis, Pneumonia, Heart attack, Hyperthyroidism, Hypoglycemia",28,"[15, 25, 27, 29, 32, 33]"
29,dehydration,Gastroenteritis,29,[8]
30,indigestion,"Peptic ulcer diseae, Migraine",30,"[5, 11]"
31,headache,"Hypertension , Migraine, Paralysis (brain hemorrhage), Malaria, Chicken pox, Dengue, Typhoid, Common Cold, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo",31,"[10, 11, 13, 15, 16, 17, 18, 26, 33, 36]"
32,yellowish_skin,"Chronic cholestasis, Jaundice, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Alcoholic hepatitis",32,"[3, 14, 19, 20, 21, 22, 23, 24]"
33,dark_urine,"Jaundice, hepatitis A, Hepatitis B, Hepatitis D, Hepatitis E",33,"[14, 19, 20, 22, 23]"
34,nausea,"Chronic cholestasis, Malaria, Dengue, Typhoid, hepatitis A, Hepatitis C, Hepatitis D, Hepatitis E, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo",34,"[3, 15, 17, 18, 19, 21, 22, 23, 33, 36]"
35,loss_of_appetite,"Chronic cholestasis, Peptic ulcer diseae, Chicken pox, Dengue, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis",35,"[3, 5, 16, 17, 19, 20, 21, 22, 23, 25]"
36,pain_behind_the_eyes,Dengue,36,[17]
37,back_pain,"Cervical spondylosis, Dengue",37,"[12, 17]"
38,constipation,"Typhoid, Dimorphic hemmorhoids(piles)",38,"[18, 28]"
39,abdominal_pain,"Chronic cholestasis, Peptic ulcer diseae, Jaundice, Typhoid, hepatitis A, Hepatitis B, Hepatitis D, Hepatitis E, Alcoholic hepatitis",39,"[3, 5, 14, 18, 19, 20, 22, 23, 24]"
40,diarrhoea,"Gastroenteritis, Malaria, Typhoid, hepatitis A, Hyperthyroidism",40,"[8, 15, 18, 19, 32]"
41,mild_fever,"Chicken pox, hepatitis A, Tuberculosis",41,"[16, 19, 25]"
42,yellow_urine,Hepatitis B,42,[20]
43,yellowing_of_eyes,"Chronic cholestasis, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis",43,"[3, 19, 20, 21, 22, 23, 25]"
44,acute_liver_failure,Hepatitis E,44,[23]
45,fluid_overload,,45,[]
46,swelling_of_stomach,Alcoholic hepatitis,46,[24]
47,swelled_lymph_nodes,"Chicken pox, Tuberculosis, Common Cold",47,"[16, 25, 26]"
48,malaise,"Chicken pox, Dengue, Hepatitis B, Tuberculosis, Common Cold, Pneumonia",48,"[16, 17, 20, 25, 26, 27]"
49,blurred_and_distorted_vision,"Diabetes , Migraine, Hypoglycemia",49,"[7, 11, 33]"
50,phlegm,"Tuberculosis, Common Cold, Pneumonia",50,"[25, 26, 27]"
51,throat_irritation,Common Cold,51,[26]
52,redness_of_eyes,Common Cold,52,[26]
53,sinus_pressure,Common Cold,53,[26]
54,runny_nose,Common Cold,54,[26]
55,congestion,Common Cold,55,[26]
56,chest_pain,"GERD, Hypertension , Tuberculosis, Common Cold, Pneumonia, Heart attack",56,"[2, 10, 25, 26, 27, 29]"
57,weakness_in_limbs,Cervical spondylosis,57,[12]
58,fast_heart_rate,"Pneumonia, Hyperthyroidism",58,"[27, 32]"
59,pain_during_bowel_movements,Dimorphic hemmorhoids(piles),59,[28]
60,pain_in_anal_region,Dimorphic hemmorhoids(piles),60,[28]
61,bloody_stool,Dimorphic hemmorhoids(piles),61,[28]
62,irritation_in_anus,Dimorphic hemmorhoids(piles),62,[28]
63,neck_pain,"Cervical spondylosis, Osteoarthristis",63,"[12, 34]"
64,dizziness,"Hypertension , Cervical spondylosis, Hypothyroidism",64,"[10, 12, 31]"
65,cramps,Varicose veins,65,[30]
66,bruising,Varicose veins,66,[30]
67,obesity,"Diabetes , Varicose veins",67,"[7, 30]"
68,swollen_legs,Varicose veins,68,[30]
69,swollen_blood_vessels,Varicose veins,69,[30]
70,puffy_face_and_eyes,Hypothyroidism,70,[31]
71,enlarged_thyroid,Hypothyroidism,71,[31]
72,brittle_nails,Hypothyroidism,72,[31]
73,swollen_extremeties,Hypothyroidism,73,[31]
74,excessive_hunger,"Diabetes , Migraine, Hyperthyroidism, Hypoglycemia",74,"[7, 11, 32, 33]"
75,extra_marital_contacts,AIDS,75,[6]
76,drying_and_tingling_lips,Hypoglycemia,76,[33]
77,slurred_speech,Hypoglycemia,77,[33]
78,knee_pain,Osteoarthristis,78,[34]
79,hip_joint_pain,Osteoarthristis,79,[34]
80,muscle_weakness,"Hyperthyroidism, Arthritis",80,"[32, 35]"
81,stiff_neck,"Migraine, Arthritis",81,"[11, 35]"
82,swelling_joints,"Osteoarthristis, Arthritis",82,"[34, 35]"
83,movement_stiffness,Arthritis,83,[35]
84,spinning_movements,(vertigo) Paroymsal  Positional Vertigo,84,[36]
85,loss_of_balance,"Hypertension , Cervical spondylosis, (vertigo) Paroymsal  Positional Vertigo",85,"[10, 12, 36]"
86,unsteadiness,(vertigo) Paroymsal  Positional Vertigo,86,[36]
87,weakness_of_one_body_side,Paralysis (brain hemorrhage),87,[13]
88,loss_of_smell,Common Cold,88,[26]
89,bladder_discomfort,Urinary tract infection,89,[38]
90,foul_smell_of urine,Urinary tract infection,90,[38]
91,continuous_feel_of_urine,Urinary tract infection,91,[38]
92,passage_of_gases,Peptic ulcer diseae,92,[5]
93,internal_itching,Peptic ulcer diseae,93,[5]
94,toxic_look_(typhos),Typhoid,94,[18]
95,depression,"Migraine, Hypothyroidism",95,"[11, 31]"
96,irritability,"Migraine, Hypothyroidism, Hyperthyroidism, Hypoglycemia",96,"[11, 31, 32, 33]"
97,muscle_pain,"Malaria, Dengue, hepatitis A, Common Cold",97,"[15, 17, 19, 26]"
98,altered_sensorium,Paralysis (brain hemorrhage),98,[13]
99,red_spots_over_body,"Chicken pox, Dengue",99,"[16, 17]"
100,belly_pain,Typhoid,100,[18]
101,abnormal_menstruation,"Hypothyroidism, Hyperthyroidism",101,"[31, 32]"
102,dischromic _patches,Fungal infection,102,[0]
103,watering_from_eyes,Allergy,103,[1]
104,increased_appetite,Diabetes ,104,[7]
105,polyuria,Diabetes ,105,[7]
106,family_history,"Bronchial Asthma, Hepatitis C",106,"[9, 21]"
107,mucoid_sputum,Bronchial Asthma,107,[9]
108,rusty_sputum,Pneumonia,108,[27]
109,lack_of_concentration,Hypertension ,109,[10]
110,visual_disturbances,Migraine,110,[11]
111,receiving_blood_transfusion,Hepatitis B,111,[20]
112,receiving_unsterile_injections,Hepatitis B,112,[20]
113,coma,Hepatitis E,113,[23]
114,stomach_bleeding,Hepatitis E,114,[23]
115,distention_of_abdomen,Alcoholic hepatitis,115,[24]
116,history_of_alcohol_consumption,Alcoholic hepatitis,116,[24]
117,fluid_overload.1,Alcoholic hepatitis,117,[24]
118,blood_in_sputum,Tuberculosis,118,[25]
119,prominent_veins_on_calf,Varicose veins,119,[30]
120,palpitations,Hypoglycemia,120,[33]
121,painful_walking,"Osteoarthristis, Arthritis",121,"[34, 35]"
122,pus_filled_pimples,Acne,122,[37]
123,blackheads,Acne,123,[37]
124,scurring,Acne,124,[37]
125,skin_peeling,Psoriasis,125,[39]
126,silver_like_dusting,Psoriasis,126,[39]
127,small_dents_in_nails,Psoriasis,127,[39]
128,inflammatory_nails,Psoriasis,128,[39]
129,blister,Impetigo,129,[40]
130,red_sore_around_nose,Impetigo,130,[40]
131,yellow_crust_ooze,Impetigo,131,[40]
